epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.670091,1.59459,3.59184,1.33704,0.00167,0.5,0.00217,0.00152,1.46646,4.77752,1.32595,0,0,0
2,1.39541,1.56293,3.04384,1.3386,0.00167,0.5,0.12418,0.07451,1.49563,4.54794,1.25525,1.9604e-05,1.9604e-05,1.9604e-05
3,2.14538,1.57871,3.19352,1.25211,0.00167,0.5,0.49543,0.39634,1.60763,4.63943,1.33683,3.8416e-05,3.8416e-05,3.8416e-05
4,2.89162,1.19146,2.98145,1.07536,0.00333,1,0.995,0.49667,1.56738,3.91375,1.2052,5.6436e-05,5.6436e-05,5.6436e-05
5,3.71618,1.2667,2.43609,1.29901,0.00333,1,0.995,0.64654,1.45326,3.37523,1.06091,7.3664e-05,7.3664e-05,7.3664e-05
6,4.4872,1.1984,1.89102,1.00905,0.70281,1,0.995,0.597,1.56091,3.2091,1.04265,9.01e-05,9.01e-05,9.01e-05
7,5.42279,1.34569,2.08224,1.03981,0.97479,1,0.995,0.597,1.59891,3.14561,1.05112,0.000105744,0.000105744,0.000105744
8,6.30044,1.10216,1.56662,1.03371,0.99584,1,0.995,0.62179,1.61668,3.05661,1.09916,0.000120596,0.000120596,0.000120596
9,7.25846,1.12075,1.33536,0.90447,0.97922,1,0.995,0.62179,1.59588,2.92197,1.17406,0.000134656,0.000134656,0.000134656
10,8.05287,0.987,1.16139,0.8609,0.97255,1,0.995,0.62179,1.62147,2.76977,1.24849,0.000147924,0.000147924,0.000147924
11,8.9368,1.20815,1.34256,1.15241,0.97263,1,0.995,0.597,1.57168,2.58067,1.29619,0.0001604,0.0001604,0.0001604
12,9.82253,1.10635,1.43801,1.07508,0.97466,1,0.995,0.54704,1.59154,2.49421,1.34014,0.000172084,0.000172084,0.000172084
13,10.5843,1.15534,1.16477,0.92929,0.99349,1,0.995,0.54704,1.58365,2.38296,1.40603,0.000182976,0.000182976,0.000182976
14,11.3536,0.83579,1.74898,0.96212,1,0.96576,0.995,0.54704,1.64341,2.60879,1.43675,0.000193076,0.000193076,0.000193076
15,12.1403,1.05934,0.96431,0.91749,1,0.94661,0.995,0.62179,1.65713,2.74417,1.42186,0.000202384,0.000202384,0.000202384
16,12.9253,1.19943,1.34976,1.02727,1,0.93331,0.995,0.54709,1.63197,2.87496,1.39275,0.0002109,0.0002109,0.0002109
17,13.6918,1.23313,1.4224,1.16472,1,0.91418,0.995,0.57212,1.57282,2.89076,1.38637,0.000218624,0.000218624,0.000218624
18,14.4611,1.27559,1.48986,1.29442,1,0.86607,0.995,0.57234,1.51868,2.99158,1.3482,0.000225556,0.000225556,0.000225556
19,15.2246,0.87215,1.10796,0.87987,1,0.80357,0.995,0.57234,1.41397,3.11729,1.21015,0.000231696,0.000231696,0.000231696
20,16.0454,0.95588,1.71528,0.99252,1,0.78773,0.995,0.42336,1.39668,3.31301,1.15546,0.000237044,0.000237044,0.000237044
21,16.8142,1.48329,1.37159,1.02849,1,0.77209,0.995,0.37306,1.38968,3.44051,1.14591,0.0002416,0.0002416,0.0002416
22,17.5274,1.36608,1.82038,1.16688,0.53947,0.5,0.82833,0.44769,1.35204,3.54324,1.07906,0.000245364,0.000245364,0.000245364
23,18.2391,0.81128,1.43102,0.93534,0.56325,0.5,0.82833,0.46423,1.30256,3.48229,1.08608,0.000248336,0.000248336,0.000248336
24,18.9472,1.07526,1.04324,0.93982,0.56325,0.5,0.82833,0.46423,1.30256,3.48229,1.08608,0.000250516,0.000250516,0.000250516
25,19.6593,1.65988,1.65251,1.68424,0.56915,0.5,0.82833,0.46424,1.22274,3.4132,1.1059,0.000251904,0.000251904,0.000251904
26,20.359,0.89712,1.13383,1.04743,0.56915,0.5,0.82833,0.46424,1.22274,3.4132,1.1059,0.0002525,0.0002525,0.0002525
27,21.0615,0.85619,1.19395,0.92297,1,0.90658,0.995,0.60054,1.08551,3.34292,1.16147,0.000252304,0.000252304,0.000252304
28,21.7566,0.65078,1.15026,0.92286,1,0.90658,0.995,0.60054,1.08551,3.34292,1.16147,0.000251316,0.000251316,0.000251316
29,22.5263,0.81052,1.15904,0.82287,0.95339,1,0.995,0.60835,0.93273,3.45139,1.11594,0.000249536,0.000249536,0.000249536
30,23.3272,0.80213,1.0512,0.88592,0.95339,1,0.995,0.60835,0.93273,3.45139,1.11594,0.000246964,0.000246964,0.000246964
31,24.1096,0.90998,1.05711,0.91107,0.8859,1,0.995,0.61477,1.14793,3.12507,1.26536,0.0002436,0.0002436,0.0002436
32,24.8427,0.8592,1.22104,1.009,0.8859,1,0.995,0.61477,1.14793,3.12507,1.26536,0.000239444,0.000239444,0.000239444
33,25.5472,0.83799,1.42392,0.98961,0.88693,1,0.995,0.70151,1.16971,3.07314,1.31562,0.000234496,0.000234496,0.000234496
34,26.2744,0.80275,0.86522,0.86673,0.88693,1,0.995,0.70151,1.16971,3.07314,1.31562,0.000228756,0.000228756,0.000228756
35,27.0098,0.85651,1.15304,1.07077,0.91326,1,0.995,0.649,1.15582,3.03967,1.26573,0.000222224,0.000222224,0.000222224
36,27.6966,0.56843,0.94211,0.87602,0.91326,1,0.995,0.649,1.15582,3.03967,1.26573,0.0002149,0.0002149,0.0002149
37,28.4045,0.81314,1.50601,0.94302,0.93271,1,0.995,0.64645,1.14942,3.15719,1.15303,0.000206784,0.000206784,0.000206784
38,29.093,0.58677,0.99277,0.82782,0.93271,1,0.995,0.64645,1.14942,3.15719,1.15303,0.000197876,0.000197876,0.000197876
39,29.8448,0.59469,0.9882,0.83017,0.94861,1,0.995,0.59641,1.12266,3.27708,1.04868,0.000188176,0.000188176,0.000188176
40,30.5475,0.60167,1.00798,0.85817,0.94861,1,0.995,0.59641,1.12266,3.27708,1.04868,0.000177684,0.000177684,0.000177684
41,31.2549,0.49422,1.45793,0.86563,0.91692,1,0.995,0.5964,1.02592,3.36867,0.98544,0.0001664,0.0001664,0.0001664
42,31.9938,0.80582,1.82429,1.09993,0.91692,1,0.995,0.5964,1.02592,3.36867,0.98544,0.000154324,0.000154324,0.000154324
43,32.723,0.44563,1.44309,0.76165,0.92038,1,0.995,0.59686,1.24797,3.07496,1.09381,0.000141456,0.000141456,0.000141456
44,33.4461,0.69044,1.57773,0.93775,0.92038,1,0.995,0.59686,1.24797,3.07496,1.09381,0.000127796,0.000127796,0.000127796
