epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16184,1.37526,2.52896,4.24133,1.33692,0.43315,0.5,0.35861,0.2192,0.43315,0.5,0.35861,0.21876,0.98012,1.50044,4.27368,0.98513,0,0,0
2,4.39125,1.14055,2.09878,4.49515,0.99511,0.47741,0.5,0.62,0.44722,0.47741,0.5,0.62,0.39761,1.04087,1.47663,4.20926,1.01042,1.934e-05,1.934e-05,1.934e-05
3,6.64154,1.37427,2.03474,3.77848,1.02634,0.83854,0.5,0.66167,0.46407,0.83854,0.5,0.66167,0.41465,0.97372,1.37273,4.44743,0.982,3.736e-05,3.736e-05,3.736e-05
4,8.86347,1.04366,1.70577,1.92313,0.99129,1,0.95991,0.995,0.74604,1,0.95991,0.995,0.69656,0.8585,1.23674,4.84832,0.88847,5.406e-05,5.406e-05,5.406e-05
5,11.5446,0.87911,2.43807,4.78886,1.10215,0.98573,1,0.995,0.796,0.98573,1,0.995,0.74604,0.72561,1.1653,6.46449,0.83656,6.944e-05,6.944e-05,6.944e-05
6,14.9018,0.80534,1.32972,1.95464,0.87827,0.98371,1,0.995,0.8955,0.98371,1,0.995,0.796,0.5534,1.19966,7.45597,0.81225,8.35e-05,8.35e-05,8.35e-05
7,17.1128,0.66557,1.07773,1.60153,0.96956,0.99777,1,0.995,0.8955,0.99777,1,0.995,0.74604,0.51778,1.29076,7.70439,0.80175,9.624e-05,9.624e-05,9.624e-05
8,19.3105,0.53523,1.22782,2.67435,0.84699,0.9954,1,0.995,0.8955,0.9954,1,0.995,0.74604,0.52135,1.47047,6.84089,0.79199,0.00010766,0.00010766,0.00010766
9,21.4813,1.36847,1.7017,4.04657,1.17974,0.9872,1,0.995,0.8955,0.9872,1,0.995,0.62179,0.59238,1.68894,6.4121,0.80053,0.00011776,0.00011776,0.00011776
10,23.6154,0.89655,1.29197,2.02458,0.97978,0.97612,1,0.995,0.8955,0.97612,1,0.995,0.6965,0.65529,1.73407,5.83951,0.81595,0.00012654,0.00012654,0.00012654
11,26.0728,0.79155,1.17848,1.8987,0.89261,0.9734,1,0.995,0.8955,0.9734,1,0.995,0.6965,0.68027,1.61225,5.44748,0.8231,0.000134,0.000134,0.000134
12,29.1412,0.7148,1.27314,1.68461,0.79088,0.97111,1,0.995,0.82079,0.97111,1,0.995,0.6965,0.748,1.66602,5.22087,0.83794,0.00014014,0.00014014,0.00014014
13,31.3049,0.74672,1.56504,1.44585,0.87463,0.97025,1,0.995,0.82079,0.97025,1,0.995,0.6965,0.75479,1.54668,5.34694,0.83736,0.00014496,0.00014496,0.00014496
14,33.4855,0.745,1.34372,1.15584,0.83158,0.94981,1,0.995,0.82079,0.94981,1,0.995,0.6965,0.76492,1.53555,5.72214,0.83735,0.00014846,0.00014846,0.00014846
15,35.5899,0.71525,1.08644,1.07517,0.85497,0.90339,1,0.995,0.796,0.90339,1,0.995,0.74604,0.77995,1.4974,6.86912,0.83978,0.00015064,0.00015064,0.00015064
16,37.6807,0.69292,0.90541,1.20675,0.8326,0.2023,1,0.745,0.596,0.2023,1,0.745,0.5215,0.90315,1.47635,12.205,0.87214,0.0001515,0.0001515,0.0001515
17,39.7701,0.77322,0.88358,1.40593,0.93068,0.11022,1,0.12437,0.09329,0.11022,1,0.12437,0.08706,1.12586,1.6138,18.3165,0.95773,0.00015104,0.00015104,0.00015104
18,42.9221,0.6636,0.84972,1.22615,0.84292,0.11022,1,0.12437,0.09329,0.11022,1,0.12437,0.08706,1.12586,1.6138,18.3165,0.95773,0.00014926,0.00014926,0.00014926
19,45.46,0.62442,0.98632,1.22493,0.82069,0.35277,0.5,0.58591,0.45968,0.35277,0.5,0.58591,0.45968,1.03136,1.52148,11.2347,0.93624,0.00014616,0.00014616,0.00014616
20,47.5037,0.64058,0.89818,1.08505,0.96518,0.35277,0.5,0.58591,0.45968,0.35277,0.5,0.58591,0.45968,1.03136,1.52148,11.2347,0.93624,0.00014174,0.00014174,0.00014174
21,49.6249,0.55974,0.82336,2.0413,0.87925,1,0.99826,0.995,0.79559,1,0.99826,0.995,0.69609,0.87136,1.51403,6.27543,0.9086,0.000136,0.000136,0.000136
22,51.6854,0.66814,1.11207,1.60886,0.84466,1,0.99826,0.995,0.79559,1,0.99826,0.995,0.69609,0.87136,1.51403,6.27543,0.9086,0.00012894,0.00012894,0.00012894
23,53.7905,0.5892,1.08101,1.53269,0.90131,0.9797,1,0.995,0.64571,0.9797,1,0.995,0.64613,0.81011,1.64623,5.21052,0.96822,0.00012056,0.00012056,0.00012056
24,55.8765,0.66059,1.02151,1.42874,0.7923,0.9797,1,0.995,0.64571,0.9797,1,0.995,0.64613,0.81011,1.64623,5.21052,0.96822,0.00011086,0.00011086,0.00011086
25,59.4984,0.62933,0.89355,1.29574,0.9279,0.98888,1,0.995,0.69567,0.98888,1,0.995,0.59617,0.73865,1.68349,5.12152,0.89603,9.984e-05,9.984e-05,9.984e-05
